id,kategoriya,istochnik,url,kto,cto_daet,status_dostupa,zametka
S32,СМИ,"Петербургский формат — «Дебатов нет, но вроде есть»",https://spbformat.ru/main/debatov-net-no-vrode-est-kak-prohodit-kampaniya-po-vyboram-v-zaks/,все,разбор кампании + карточки избиркома по всем округам,доступно,ключевой аналитический материал сент. 2026
S33,СМИ,МР7 — кандидаты СР,https://mr-7.ru/articles/2026/07/05/spravedlivorossy-utverdili-sostav-kandidatov-v-peterburgskie-deputaty-news,Дудоладов,выдвижение съездом СР,доступно,
S34,СМИ,МР7 — гид по выборам сентябрь-2026,https://mr-7.ru/articles/2026/07/23/sentiabr-2026-gid-po-vyboram-v-peterburge,все,статистика регистрации по партиям,доступно,
S35,СМИ,Форпост СЗ — «Спаси Россию» (агитация/расходы),https://forpost-sz.ru/a/2026-09-07/spasi-rossiyu-kak-agitiruyut-kandidaty-v-deputaty-v-peterburge,Зверев + все,агитация/расходы кандидатов,доступно,
S36,СМИ,СПб Дневник — зарегистрированные кандидаты,https://spbdnevnik.ru/news/2026-07-20/v-peterburge-nazvali-chislo-vydvinutykh-i-zaregistrirovannykh-kandidatov-na-vybory-2026-goda,все,статусы регистрации 20.07.2026,доступно,
S37,СМИ,KP СПб — запрет ИИ-контента (130-ФЗ),https://www.spb.kp.ru/daily/277782/5248201/,все,правила агитации 2026,доступно,
S38,СМИ,ЗакС.Кодекс — посты о работе Гладунова,http://zaks.kodeks.net/article/771/102192/Yuriy-Gladunov-Rabota-v-tesnom-kontakte-s-zhitelyami---vazhneyshaya-sostavlyayuschaya-raboty-deputata,Гладунов,прямые цитаты,доступно,
S39,СМИ,Невские Новости — депутаты-блогеры,https://neva.today/news/2022/11/1/402004,Гладунов,наличие/размер TG-канала,доступно,
S40,СМИ,gogov.ru — кандидаты ГД окр. №213,https://gogov.ru/candidates-sep26/pushkin,Зверев,таблица: ФИО/рождение/партия/статус,доступно,
S41,реестр,unfall.ru — Дудоладов (лицо по ИНН),https://unfall.ru/person/312003007186,Дудоладов,руководство/учредительство,гео-блок из песочницы,данные зафиксированы через кэш поиска
S42,реестр,checko.ru — ООО «ПЕТРОДИЗЕЛЬ»,https://checko.ru/company/petrodizel-1067847290950,Дудоладов,доли/сотрудники/связи,гео-блок из песочницы,
S43,реестр,zachestnyibiznes.ru — Дудоладов,https://zachestnyibiznes.ru/fl/312003007186,Дудоладов,хронология деятельности/регионы,доступно через кэш,
S44,реестр,spark-interfax — ООО «ПЕТРОДИЗЕЛЬ»,https://spark-interfax.ru/sankt-peterburg-primorski/ooo-petrodizel-inn-7806331716-ogrn-1067847290950-1ac2b11e6c1c4f3f8d0649c8aed83d01,Дудоладов,реквизиты,доступно через кэш,
S45,реестр,RBC companies — ООО «ПЕТРОДИЗЕЛЬ»,https://www.rbc.ru/companies/id/1067847290950-ooo-petrodizel/,Дудоладов,доли/сотрудники,доступно через кэш,
S46,реестр,ppt.ru — профиль Луговского (2016),http://ppt.ru/person.phtml?id=10158,Луговской,место работы 2016,проверить из браузера,
S47,энциклопедия,Википедия — выборы в ЗакС СПб (2026),https://ru.wikipedia.org/wiki/Выборы_в_Законодательное_собрание_Санкт-Петербурга_(2026),все,система/округа/регистрации/нарушения/итоги,доступно,обновляется в дни голосования
S48,архив,Wayback Machine,https://web.archive.org/web/20231023232341/https:/spb.er.ru/activity/news/deputaty-edinorossy-peterburga-pobyvali-v-zone-svo-i-mariupole-chtoby-peredat-pomosh-i-skazat-slova-podderzhki-voennym-i-zhitelyam,все,мёртвые/удалённые страницы,доступно,обязателен для соцсетей и old.cprfspb.ru
S49,СМИ,vybor-naroda.org — выдвижение СР,https://vybor-naroda.org/lentanovostey/309947-spravorossy-vydvinuli-kandidatov-v-zaksobranie-peterburga.html,Дудоладов,перечень кандидатов СР по округам,доступно,
S50,СВО — официальный источник,ЕР СПб — 85-й гуманитарный конвой,https://spb.er.ru/activity/news/deputaty-otpravili-85-j-gumanitarnyj-konvoj-v-zonu-svo-i-prifrontovye-regiony,Гладунов,участие в отправке груза в зону СВО 04.02.2026,доступно,
S51,СВО — источник события,СПб митрополия — 89-й конвой,https://mitropolia.spb.ru/news/parishs/?id=285833,Гладунов,организация 89-го конвоя 07.04.2026,доступно,
S52,СВО — СМИ,ЗакС.Ру — 90-й гуманитарный груз,https://www.zaks.ru/new/archive/view/266304,Гладунов,участие в 30-й командировке в зону СВО 18.04.2026,доступно,
S53,СВО — СМИ,ЗакС.Ру — автомобиль для «Ахмата»,https://www.zaks.ru/new/archive/view/267744,Гладунов,участие в передаче автомобиля 17.07.2026,доступно,
S54,СВО — официальный источник,ЛДПР СПб — концерт в госпитале,https://spb.ldpr.ru/event/prazdnik-vmeste-s-zashchitnikami-otechestva-spb/,Зверев,личное высказывание и участие в госпитальном мероприятии 21.08.2026,доступно,
S55,СВО — официальный источник,СР — программа реабилитации ветеранов,https://spravedlivo.ru/16228710,Дудоладов / СР,"партийное предложение о реабилитации, переобучении и трудоустройстве",доступно,Не приписывать Дудоладову лично.
S56,СВО — официальный источник,СР — «Манифест справедливости»,https://moskva.spravedlivo.ru/28703410,Дудоладов / СР,партийные предложения поддержки участников СВО,доступно,Не приписывать Дудоладову лично.
S57,СВО — официальный источник,КПРФ — «Программа Победы»,https://msk.kprf.ru/2026/04/30/286493/,Луговской / КПРФ,партийное обещание помощи участникам СВО и семьям,доступно,Не приписывать Луговскому лично.
S58,СВО — партийный архив,КПРФ СПб — сбор помощи Донецку и Луганску,https://cprfspb.ru/news/sbor-ghumanitarnoi-pomoshchi-zhitieliam-donietska-i-lughanska/,Луговской / КПРФ,партийный сбор помощи 2022,доступно,Луговской в публикации не назван.
S59,СВО — официальный источник,ЛДПР — приоритеты 2026,https://ldpr.ru/event/448157/,Зверев / ЛДПР,поддержка ветеранов СВО как партийный приоритет,доступно,Не приписывать Звереву лично.
S60,СВО — официальный источник,ЕР СПб — Гладунов и Шамахов на праймериз,https://spb.er.ru/activity/news/yurij-gladunov-i-vladimir-shamahov-budut-uchastvovat-v-predvaritelnom-golosovanii-edinoj-rossii-v-petrogradskom-rajone,Гладунов,публичное высказывание о СВО и новых территориях 12.03.2026,доступно,
S61,СВО — СМИ,ЗакС.Ру — поездка Гладунова 2025,https://www.zaks.ru/new/archive/view/260474,Гладунов,командировка в зону СВО 11.04.2025,доступно,
S62,СВО — архив,ЕР СПб — поездка в Донбасс (Wayback),https://web.archive.org/web/20231023232341/https:/spb.er.ru/activity/news/deputaty-edinorossy-peterburga-pobyvali-v-zone-svo-i-mariupole-chtoby-peredat-pomosh-i-skazat-slova-podderzhki-voennym-i-zhitelyam,Гладунов,командировка в Донбасс и Мариуполь 16.10.2023,доступно,Архив официальной партийной страницы.
S63,СВО — официальный источник,ЛДПР — программа поддержки ветеранов,https://samara.ldpr.ru/event/zadacha-ldpr-zabota-o-veteranakh-svo-smr63/,Зверев / ЛДПР,партийная система поддержки ветеранов и семей,доступно,Региональная страница ЛДПР; не индивидуальное заявление Зверева.
S64,СВО — проверка атрибуции,СР — публикация о программе ветеранов,https://spravedlivo.ru/16228710,Дудоладов,проверка: кандидат в публикации не назван и не цитируется,доступно,Страница фиксирует партийную позицию; не является отрицательным доказательством о жизни кандидата.
S65,СВО — проверка атрибуции,КПРФ СПб — сбор помощи Донецку и Луганску,https://cprfspb.ru/news/sbor-ghumanitarnoi-pomoshchi-zhitieliam-donietska-i-lughanska/,Луговской,проверка: кандидат в публикации не назван участником,доступно,Страница фиксирует партийную акцию; не является отрицательным доказательством о жизни кандидата.
S66,СВО — официальный источник,ЕР СПб — 50-й гуманитарный конвой,https://spb.er.ru/activity/news/deputaty-peterburgskogo-parlamenta-dostavili-50-j-konvoj-s-gumanitarnym-gruzom-v-raspolozhenie-leningradskogo-polka,Гладунов,участие и личная цитата о военнослужащих,доступно,
S67,СМИ — досье,ЗакС.Ру — профиль кандидатов 2026,https://www.zaks.ru/new/archive/view/267029,Гладунов / Зверев,биографические и кампанийные сведения,доступно,
S68,СМИ — кампания,ЗакС.Ру — федеральный трек Зверева,https://www.zaks.ru/new/archive/view/267388,Зверев,кандидатура в ГД по округу №213,доступно,
S69,СМИ — кампания,ЗакС.Ру — дебаты по округу №6,https://www.zaks.ru/new/archive/view/268938,все,содержание публикации о дебатах; не вывод об округе №3,доступно,
S70,СМИ — кампания,ЗакС.Ру — задержание агитаторов,https://www.zaks.ru/new/archive/view/268942,все,инцидент 17.09.2026 в МО «Автово»,доступно,
S71,СМИ — кампания,ЗакС.Ру — жалобы наблюдателей,https://www.zaks.ru/new/archive/view/268957,все,сообщение о жалобах представителей КПРФ,доступно,
S72,СМИ — поездка,ЗакС.Ру — поездка депутатов 21.08.2026,https://www.zaks.ru/new/archive/view/268360,Гладунов,поимённое участие в поездке в зону СВО,доступно,
S73,СМИ — архив,ЗакС.Ру — архив публикации о Гладунове,https://www.zaks.ru/new/archive/view/255611,Гладунов,архивное упоминание/поступок,доступно,
S74,реестр,checko.ru — ООО «АВТОПЕТРОЛЕУМ»,https://checko.ru/company/avtopetroleum-1089847177309,Дудоладов,связь с ООО «АВТОПЕТРОЛЕУМ»,проверить из браузера,
S75,СВО — партийный источник,СР СПб — госпитальная помощь в ЛНР,https://t.me/s/spravPiter/6630,Дудоладов / СР,партийная акция 20.01.2026; кандидат не назван,доступно,Не засчитывать как личное действие Дудоладова.
S76,СВО — проверка атрибуции,СР СПб — поиск по фамилии в публичной ленте,https://t.me/s/spravPiter?q=%D0%94%D1%83%D0%B4%D0%BE%D0%BB%D0%B0%D0%B4%D0%BE%D0%B2,Дудоладов,результат публичного поиска: No posts found,доступно,Результат ограничен одной лентой; не доказательство отсутствия материалов вообще.
