id,kandidat,partiya,tip,tema,utverzhdenie,data,istochnik,url,tip_istochnika,citata,doverie,status,zametka
11,Гладунов Юрий Николаевич,Единая Россия,биография,личное дело,"1999–2011 — глава местной администрации (глава МО) г. Зеленогорск (Кронштадт)",2026,ЗакС.Ру (досье персоны),https://www.zaks.ru/new/person/view/1664,СМИ,"«С 1999 по октябрь 2011 гг. – глава администрации МО Зеленогорск»",косвенная,подтверждено,"подтверждено также ideputat.er.ru и spb.er.ru"
12,Гладунов Юрий Николаевич,Единая Россия,биография,личное дело,"Октябрь 2011 — сентябрь 2016 — глава администрации Петроградского района",2026,ЗакС.Ру (досье персоны),https://www.zaks.ru/new/person/view/1664,СМИ,"«В октябре 2011 году назначен главой Петроградского района»",косвенная,подтверждено,"подтверждено ЗакС.Ру 267029: «В прошлом Гладунов возглавлял администрацию Петроградского района»"
13,Гладунов Юрий Николаевич,Единая Россия,биография,партийная роль,"С 2011 — секретарь политсовета Петроградского районного отделения партии «Единая Россия»",2026,ideputat.er.ru («Мой депутат»),https://ideputat.er.ru/user/167315,партия,"«С 2011 года секретарь политсовета Петроградского районного отделения Партии ЕДИНАЯ РОССИЯ»",прямая,подтверждено,
14,Гладунов Юрий Николаевич,Единая Россия,биография,депутатство,"Сентябрь 2016 — избран депутатом ЗакСа VI созыва (единый округ); сентябрь 2021 — VII созыв (по партийным спискам); председатель постоянной комиссии по устройству государственной власти, местному самоуправлению и административно-территориальному устройству",2026,ЗакС.Ру (досье персоны),https://www.zaks.ru/new/person/view/1664,СМИ,"«В сентябре 2016 года избран депутатом Законодательного Собрания Санкт-Петербурга шестого созыва от единого избирательного округа. В сентябре 2021 года избран депутатом… седьмого созыва… Председатель постоянной комиссии по устройству государственной власти, местному самоуправлению и административно-территориальному устройству»",косвенная,подтверждено,"профиль: assembly.spb.ru/general/composition/deputies/7th-convocation/gladunov-yuriy-nikolaevich/"
15,Гладунов Юрий Николаевич,Единая Россия,биография,партийная роль,"В 2026 — член Президиума регионального политсовета «Единой России» (СПб)",2026-05-15,pg.er.ru (лента новостей профиля),https://pg.er.ru/candidate/595,партия,"«…депутат Законодательного Собрания Санкт-Петербурга, член Президиума регионального политсовета партии Единая Россия Юрий Гладунов традиционно в составе…»",прямая,подтверждено,
16,Гладунов Юрий Николаевич,Единая Россия,поступок,кампания 2026,"16.03.2026 — подал заявление на праймериз «Единой России» для выдвижения по одномандатному округу (окр. №3)",2026-03-16,pg.er.ru (новость профиля),https://pg.er.ru/candidate/595,партия,"«Депутат петербургского парламента Юрий Гладунов подал заявление для участия в предварительном голосовании Единой России на выборы в Законодательное Собрание Санкт-Петербурга по одномандатному…»",прямая,подтверждено,
17,Гладунов Юрий Николаевич,Единая Россия,поступок,кампания 2026,"На праймериз ЕР 2026 — 1-е место (свыше 4,4 тыс. голосов)",2026-06,ЗакС.Ру,https://www.zaks.ru/new/archive/view/267029,СМИ,"«На праймериз Единой России он набрал свыше 4,4 тысячи голосов и занял первое место»",косвенная,подтверждено,"первоисточник — результаты праймериз на pg.er.ru"
18,Гладунов Юрий Николаевич,Единая Россия,поступок,парламентская работа,"Участие в заседании постоянного комитета Парламентской ассоциации Северо-Запада России (ПАСЗР) по вопросам местного самоуправления",2026-04,pg.er.ru (новость профиля),https://pg.er.ru/candidate/595,партия,"«Принял участие в заседании постоянного комитета Парламентской Ассоциации Северо-Запад России по вопросам местного самоуправления»",прямая,подтверждено,
19,Гладунов Юрий Николаевич,Единая Россия,поступок,публичная деятельность,"19.03.2026 — с депутатом К. Чебыкиным принял участие в отправке гуманитарного конвоя (Орденский Андреевский собор)",2026-03-19,pg.er.ru (новость профиля),https://pg.er.ru/candidate/595,партия,"«После завершения заседания парламента Северной столицы депутаты Законодательного Собрания Санкт-Петербурга Юрий Гладунов и Константин Чебыкин направились к Орденскому Андреевскому Собору на…»",прямая,подтверждено,
20,Гладунов Юрий Николаевич,Единая Россия,поступок,публичная деятельность,"В преддверии Дня Победы 2026 провёл приём; на площадке Белого зала администрации Петроградского района — праздничный концерт ко Дню воссоединения Крыма",2026-05-15,pg.er.ru (новость профиля),https://pg.er.ru/candidate/595,партия,"«Депутат провел приём. В преддверии великого праздника — Дня Победы, депутат… Юрий Гладунов традиционно в составе… В Белом зале администрации Петроградского района прошел праздничный концерт…»",прямая,подтверждено,
21,Гладунов Юрий Николаевич,Единая Россия,поступок,публичная деятельность,"21.08.2026 — с депутатами ЗакСа посетил зону СВО (встреча с Д. Малкевичем; передача автомобиля)",2026-08-21,ЗакС.Ру,https://www.zaks.ru/new/archive/view/268360,СМИ,"«Петербургские депутаты встретились с бывшим коллегой Малькевичем в зоне СВО»",косвенная,подтверждено,"также zaks.ru 267744: «Малькевич принял в зоне СВО автомобиль от депутатов Заксобрания»"
22,Гладунов Юрий Николаевич,Единая Россия,взгляд,роль местного самоуправления,"Муниципальные главы не должны считать себя «политиками высокого уровня»: большую политику ведут президент, ГД, СФ, правительство; на местах — решать вопросы «на земле» (круглый стол с главами МО, 24.09.2024)",2024-09-24,ЗакС.Ру (Муниципал),https://www.zaks.ru/new/archive/view/255611,СМИ,"«Хотел бы предостеречь всех от того, чтобы считать себя политиками высокого уровня. Вот политикой есть, кто занимается — это президент, есть Государственная дума, Совет Федерации, правительство — вот они пусть и занимаются как положено политикой. А на муниципальном уровне… нужно заниматься вопросами на земле»",косвенная,подтверждено,
23,Гладунов Юрий Николаевич,Единая Россия,взгляд,работы депутата,"«Не бывает незначительных проблем»: работа в тесном контакте с жителями — важнейшая часть работы депутата",2021,ЗакС.Кодекс,http://zaks.kodeks.net/article/771/102192/Yuriy-Gladunov-Rabota-v-tesnom-kontakte-s-zhitelyami---vazhneyshaya-sostavlyayuschaya-raboty-deputata,СМИ,"«Работа в тесном контакте с жителями, органами местного самоуправления - важнейшая составляющая работы депутата. Не бывает незначительных проблем, всё, с чем приходят жители заслуживает большого внимания, и должно решаться с учетом их интересов»",прямая,подтверждено,
24,Гладунов Юрий Николаевич,Единая Россия,поступок,приёмы граждан,"Регулярно проводит личные приёмы граждан (ЖКХ, социальная защита, жилищные условия; 2026 — вопросы занятости и обращения по мартovým счетам за отопление — апелляция к прокурору СПб)",2021-2026,ideputat.er.ru («Мой депутат»),https://ideputat.er.ru/user/167315,партия,"«На прошедшем приеме граждан поднимались вопросы поиска работы» / «По вопросу мартовских счетов за отопление обратился за поддержкой к Прокурору Санкт-Петербурга»",прямая,подтверждено,"лента обновляется — постоянный источник"
25,Гладунов Юрий Николаевич,Единая Россия,биография,соцсети,"Личные каналы: VK dep_gladunov, MAX dep_gladunov, Одноклассники (профиль 601843707672); Telegram-канал — 81 подписчик на 11.2022",2026,pg.er.ru + Невские Новости (neva.today),https://pg.er.ru/candidate/595,партия,"«Страницы в соцсетях: https://max.ru/dep_gladunov https://vk.com/dep_gladunov https://ok.ru/profile/601843707672»",прямая,подтверждено,"еженедельный срез постов = новые строки «взгляд»"
26,Дудоладов Глеб Борисович,Справедливая Россия,кампания,выдвижение,"Утверждён съездом «Справедливой России» кандидатом по одномандатному округу №3 на выборах в ЗакС 2026",2026-07-05,МР7,https://mr-7.ru/articles/2026/07/05/spravedlivorossy-utverdili-sostav-kandidatov-v-peterburgskie-deputaty-news,СМИ,"«округ №3: Глеб Дудоладов»",косвенная,подтверждено,"первоисточник — TG-канал партии t.me/spravPiter (пост 7032)"
27,Дудоладов Глеб Борисович,Справедливая Россия,кампания,регистрация,"Подавал документы для регистрации по округу №3; дополнительно входит в региональную группу СР по 3 территории (№2 в группе)",2026-07-22,ЗакС.Ру + Петербургский формат,https://www.zaks.ru/new/archive/view/267807,СМИ,"«…Глеб Дудоладов (Справедливая Россия)… по округу № 3 подали документы»",косвенная,подтверждено,
28,Дудоладов Глеб Борисович,Справедливая Россия,бизнес,предпринимательство,"Руководитель и 100%-ный учредитель ООО «ПЕТРОДИЗЕЛЬ» (ИНН 7806331716, ОГРН 1067847290950) — деятельность агентов по оптовой торговле топливом; адрес: СПб, Коломяжский пр-т, 33; 4 сотрудника; учредитель ООО «АВТОПЕТРОЛЕУМ» (топливо) и ООО «КОНСТРУКЦИЯ» (строительство жилья)",2006-2026,unfall.ru / checko.ru / zachestnyibiznes.ru,https://unfall.ru/person/312003007186,реестр,"",прямая,подтверждено,"из песочницы unfall/checko в гео-блоке — данные через кэш поиска и spark-interfax/RBC"
29,Дудоладов Глеб Борисович,Справедливая Россия,бизнес,предпринимательство,"Бывший учредитель ООО «НЕФТЕХИМ» (2005–2011); бизнес с 2005 г.; ИНН 312003007186 выдан в Белгородской области; предпринимательская деятельность в СПб и Белгородской области",2005-2026,zachestnyibiznes.ru,https://zachestnyibiznes.ru/fl/312003007186,реестр,"«Впервые стал(а) руководителем ООО ПЕТРОДИЗЕЛЬ с 15.02.2006 настоящее время. Начал(а) предпринимательскую деятельность ООО НЕФТЕХИМ с 10.11.2005 по 05.04.2011»",прямая,подтверждено,
30,Дудоладов Глеб Борисович,Справедливая Россия,бизнес,семейные связи,"Супруга Н.С. Дудоладова — генеральный директор ООО «АВТОПЕТРОЛЕУМ» (учредитель — Г.Б. Дудоладов)",2016-2026,checko.ru (выписка),https://checko.ru/company/avtopetroleum-1089847177309,реестр,"",прямая,подтверждено,
31,Дудоладов Глеб Борисович,Справедливая Россия,взгляд,программа,"(ПРОБЕЛ) Публичные заявления и программа Дудоладова в кампании 2026 в открытых источниках не найдены. Где искать: t.me/spravPiter, поиск VK/TG по ФИО, встречи с избирателями (ТИК №54), программа СР, агитационные материалы в округе",-,—,-,—,—,-,нужно заполнить,"приоритетный срез недели 14–27.09.2026"
32,Зверев Артём Александрович,ЛДПР,биография,партийная роль,"Координатор Петроградского местного отделения ЛДПР (по данным сайта реготделения — актуально)",2026,spb.ldpr.ru,https://spb.ldpr.ru/members/sankt_peterburg/zverev-artyem-aleksandrovich/,партия,"«Координатор Петроградского местного отделения ЛДПР»",прямая,подтверждено,
33,Зверев Артём Александрович,ЛДПР,биография,личное дело,"Уроженец Воронежа; р. 02.01.1990; в ЛДПР с конца 2009 г.; многодетный отец (трое детей); бизнес с детства",2026-06,ЗакС.Ру + gogov.ru,https://www.zaks.ru/new/archive/view/267029,СМИ,"«Зверев — уроженец Воронежа. С детства, по его словам, занимается бизнесом. Отец троих детей. В партии состоит с конца 2009 года»",косвенная,подтверждено,
34,Зверев Артём Александрович,ЛДПР,биография,бизнес,"Директор сети стоматологических клиник; бизнес ведёт с супругой — Ю. Зверева, главный врач (весной 2026 участвовала в праймериз ЕР в ГД по окр. №218)",2026-06,ЗакС.Ру,https://www.zaks.ru/new/archive/view/267029,СМИ,"«Сейчас, судя по данным профильных ресурсов, Зверев является директором сети стоматологических клиник. Бизнес он ведет вместе с супругой. Юлия Зверева занимает пост главного врача»",косвенная,подтверждено,"профильные ресурсы (ЕГРЮЛ) — уточнить точные юрлица"
35,Зверев Артём Александрович,ЛДПР,биография,образование,"Завершает аспирантуру на кафедре международной экономики РАНХиГС",2026-06,ЗакС.Ру,https://www.zaks.ru/new/archive/view/267029,СМИ,"«продолжает учебу — заканчивает аспирантуру на кафедре международной экономики РАНХиГС»",косвенная,подтверждено,
36,Зверев Артём Александрович,ЛДПР,кампания,выдвижение,"2 июня 2026 выдвинут ЛДПР кандидатом по 3-му округу ЗакСа; 3 июля включён в официальный список партии",2026-06-02,ЗакС.Ру,https://www.zaks.ru/new/archive/view/267029,СМИ,"«Кандидатом от ЛДПР на выборах депутатов Законодательного собрания Петербурга в 3-м избирательном округе станет координатор отделения партии в Петроградском районе Артем Зверев»",косвенная,подтверждено,"список партии: zaks.ru 267535 (03.07.2026)"
37,Зверев Артём Александрович,ЛДПР,кампания,федеральный трек,"Одновременно — кандидат ЛДПР в ГД РФ IX созыва по одномандатному округу №213 (Северный) — зарегистрирован (р. 02.01.1990)",2026-06-23,ЗакС.Ру + gogov.ru,https://www.zaks.ru/new/archive/view/267388,СМИ,"«Округ № 213 – глава Петроградского отделения Артем Зверев» / «Зверев Артём Александрович… 02.01.1990, ЛДПР, зарегистрирован»",косвенная,подтверждено,"материалы федеральной кампании — отдельный пласт источников"
38,Зверев Артём Александрович,ЛДПР,поступок,агитация,"Активная уличная агитация: два передвижных плаката («колёсика») у станций метро «Проспект Просвещения» и «Озерки»; слоган «Выбери ЛДПР Спаси Россию!»; на баннере: многодетный отец, аспирант РАНХиГС, общественный деятель",2026-09-07,Форпост Северо-Запад,https://forpost-sz.ru/a/2026-09-07/spasi-rossiyu-kak-agitiruyut-kandidaty-v-deputaty-v-peterburge,СМИ,"«Активную агитацию перед выборами ведёт кандидат от ЛДПР Артём Зверев… за него агитируют сразу два передвижных плаката на «колёсиках» у станций метро «Проспект Просвещения» и «Озерки»»",косвенная,подтверждено,
39,Зверев Артём Александрович,ЛДПР,взгляд,ценности,"Свои слова из соцсетей: близки понятия сильного государства, порядка и справедливости; партию делал В. Жириновский; «важно, чтобы правила игры были понятны и одинаковы для всех»; «Здесь живут люди, которым нужна реальная помощь, а не просто громкие слова»",2026,ЗакС.Ру (цитата поста из соцсетей),https://www.zaks.ru/new/archive/view/267029,СМИ,"«Мне всегда были близки понятия сильного государства, порядка и справедливости, партию делал сильный лидер — Владимир Вольфович Жириновский. Это не абстрактные вещи. Для меня, как для человека, который создавал свое дело, важно, чтобы правила игры были понятны и одинаковы для всех. С недавних пор моя работа — это координация отделения в Петроградском районе. Здесь живут люди, которым нужна реальная помощь, а не просто громкие слова», – писал о себе Зверев в соцсетях",прямая,подтверждено,"оригинал — в его соцсети; URL поста установить в разд. 3 аудита"
40,Луговской Роман Андреевич,КПРФ,биография,личное дело,"Р. 1984; место работы (2016) — ООО «Уайт-холл–Санкт-Петербург», менеджер по продажам; член КПРФ",2016,ppt.ru (профиль кампании 2016),http://ppt.ru/person.phtml?id=10158,СМИ,"«Родился в 1984 г. ООО «Уайт-холл-Санкт-Петербург», менеджер по продажам, Член КПРФ»",косвенная,подтверждено,
41,Луговской Роман Андреевич,КПРФ,биография,партийная роль,"Секретарь (2015) / первый секретарь Петроградского райкома КПРФ (2026)",2015-2026,old.cprfspb.ru + kprf.ru,http://old.cprfspb.ru/16156.html,партия,"«…секретарь Петроградского райкома КПРФ Роман Андреевич Луговской» (2015) / «выступил первый секретарь Петроградского райкома КПРФ Роман Луговской» (22.04.2026)",прямая,подтверждено,
42,Луговской Роман Андреевич,КПРФ,поступок,кампания 2015-2016,"Кандидат КПРФ по окр. №3 на выборы в ЗакС VI созыва; участвует в агитационных пикетах в Петроградском районе (Александровский парк, раздача партийной прессы, общение с избирателями)",2015,old.cprfspb.ru (архив КПРФ СПб),http://old.cprfspb.ru/16156.html,партия,"«Коммунисты Петроградского районного отделения КПРФ провели очередной пикет в Александровском парке… В раздаче партийной прессы регулярно принимает участие кандидат в депутаты… по одномандатному избирательному округу №3, секретарь Петроградского райкома КПРФ Роман Андреевич Луговской»",прямая,подтверждено,"страницы 2015-2016 на old.cprfspb.ru (на новом cprfspb.ru — 404)"
43,Луговской Роман Андреевич,КПРФ,поступок,кампания 2016,"Входил в список КПРФ по единому избирательному округу на выборах в ЗакС 2016 (№40 в списке)",2016,kprf.ru (пресс-релиз),https://kprf.ru/news/pr/46821.html,партия,"«Луговской Роман Андреевич, род. в 1984 г. ООО «Уайт-холл-Санкт-Петербург», менеджер по продажам, Член КПРФ»",прямая,подтверждено,
44,Луговской Роман Андреевич,КПРФ,поступок,кампания 2021,"В кампании 2021 (окр. №3) оспаривал в суде регистрацию кандидата «Яблока» К. Михайловой (суд подтвердил отказ ей в регистрации; она выбыла из бюллетеней)",2021,VK-сообщество (club43962110) + Петербургский формат 2021,https://vk.com/club43962110,соцсети,"«Кандидат в депутаты Законодательного собрания по округу №3 (Петроградский район) от КПРФ Роман Луговской пытается через суд оспорить регистрацию на выборы кандидата от «Яблока» Ксении Михайловой»",косвенная,подтверждено,"подтверждено добавлениями spbformat.ru за 01.09.2021 и 16.09.2021"
45,Луговской Роман Андреевич,КПРФ,поступок,партийная деятельность,"22.04.2026 — на праздновании дня рождения В.И. Ленина выступил на возложении цветов к памятнику на Петроградской стороне; отметил роль Ленина в истории России",2026-04-22,kprf.ru (пресс-служба горкома),https://kprf.ru/party-live/regnews/243282.html,партия,"«В ходе возложения цветов к памятнику революционеру на Петроградской стороне выступил первый секретарь Петроградского райкома КПРФ Роман Луговской, который отметил важность этой личности в истории России»",прямая,подтверждено,
46,Луговской Роман Андреевич,КПРФ,кампания,регистрация 2026,"Кандидат КПРФ по одномандатному окр. №3 и №1 в региональной группе КПРФ по 3 территории; действующий ответственный Петроградского района горкома КПРФ (тел. +7 952 202-39-39)",2026,Петербургский формат + cprfspb.ru,https://cprfspb.ru/rajonnye-organizacii/,партия,"«Петроградский район — Имя: Луговской Роман Андреевич — Телефон: +7 (952) 202-39-39»",прямая,подтверждено,
47,Луговской Роман Андреевич,КПРФ,взгляд,программа,"(ПРОБЕЛ) Индивидуальные программные заявления на кампанию 2026 в открытых источниках не найдены. Где искать: пресс-центр КПРФ СПб (cprfspb.ru, TG/VK горкома), заявления КПРФ по петербургской повестке (kprf.ru/activity/elections), пикеты в Петроградском районе, партийная программа КПРФ (контекст)",-,—,-,—,—,-,нужно заполнить,"приоритетный срез недели 14–27.09.2026"
48,все,-,кампания,наблюдение,"18.09.2026 (1-й день голосования) представители КПРФ подают жалобы в связи с недопуском наблюдателей к работе",2026-09-18,ЗакС.Ру,https://www.zaks.ru/new/archive/view/268957,СМИ,"«Представители КПРФ подали жалобы из-за недопуска наблюдателей к работе»",косвенная,подтверждено,"партийное действие, не личное"
49,все,-,результат,итоги,"(ПЛАН) Итоги голосования по окр. №3 и региональной группе 3 территории после 20.09.2026 — ГАС «Выборы» (карточки избиркома, раздел 1.1), протоколы ТИК №54, статья Википедии",после 20.09.2026,ГАС «Выборы» / Википедия,http://izbirkom.ru/election/588148278/,официальный,"",-,нужно заполнить,"добавить строку для каждого кандидата: % голосов, место, итог"
